Vic_date,Agre_date,dateStore
2019-02-19 17:58:19.511432,2019-02-19 17:58:19.279339,2019-02-19 17:58:20.010340
2019-02-19 17:58:19.527490,2019-02-19 17:58:19.296063,2019-02-19 17:58:20.010809
2019-02-19 17:58:19.508959,2019-02-19 17:58:19.275673,2019-02-19 17:58:20.071053
2019-02-19 17:58:19.502583,2019-02-19 17:58:19.272220,2019-02-19 17:58:20.071889
2019-02-19 17:58:19.508415,2019-02-19 17:58:19.280215,2019-02-19 17:58:20.072363
2019-02-19 17:58:19.520810,2019-02-19 17:58:19.287014,2019-02-19 17:58:20.072888
2019-02-19 17:58:19.508002,2019-02-19 17:58:19.279765,2019-02-19 17:58:20.073398
2019-02-19 17:58:19.518690,2019-02-19 17:58:19.287440,2019-02-19 17:58:20.073870
2019-02-19 17:58:19.528389,2019-02-19 17:58:19.284833,2019-02-19 17:58:20.074344
2019-02-19 17:58:19.514679,2019-02-19 17:58:19.282119,2019-02-19 17:58:20.074861
2019-02-19 17:58:19.512357,2019-02-19 17:58:19.278314,2019-02-19 17:58:20.159042
2019-02-19 17:58:19.530520,2019-02-19 17:58:19.294128,2019-02-19 17:58:20.159885
2019-02-19 17:58:19.510526,2019-02-19 17:58:19.281692,2019-02-19 17:58:20.160368
2019-02-19 17:58:19.526599,2019-02-19 17:58:19.291782,2019-02-19 17:58:20.160952
2019-02-19 17:58:19.523023,2019-02-19 17:58:19.293698,2019-02-19 17:58:20.161450
2019-02-19 17:58:19.520403,2019-02-19 17:58:19.286156,2019-02-19 17:58:20.161951
2019-02-19 17:58:19.522565,2019-02-19 17:58:19.289236,2019-02-19 17:58:20.162452
2019-02-19 17:58:19.517313,2019-02-19 17:58:19.285287,2019-02-19 17:58:20.162943
2019-02-19 17:58:19.524431,2019-02-19 17:58:19.292202,2019-02-19 17:58:20.163421
2019-02-19 17:58:19.505807,2019-02-19 17:58:19.276683,2019-02-19 17:58:20.163900
2019-02-19 17:58:19.503971,2019-02-19 17:58:19.274645,2019-02-19 17:58:20.164389
2019-02-19 17:58:19.527980,2019-02-19 17:58:19.296282,2019-02-19 17:58:20.164871
2019-02-19 17:58:19.519982,2019-02-19 17:58:19.289681,2019-02-19 17:58:20.165375
2019-02-19 17:58:19.519573,2019-02-19 17:58:19.290097,2019-02-19 17:58:20.165843
2019-02-19 17:58:19.513767,2019-02-19 17:58:19.281300,2019-02-19 17:58:20.166326
2019-02-19 17:58:19.506251,2019-02-19 17:58:19.275199,2019-02-19 17:58:20.184632
2019-02-19 17:58:19.529684,2019-02-19 17:58:19.294552,2019-02-19 17:58:20.185228
2019-02-19 17:58:19.530097,2019-02-19 17:58:19.290946,2019-02-19 17:58:20.298194
2019-02-19 17:58:19.525641,2019-02-19 17:58:19.295239,2019-02-19 17:58:20.327857
2019-02-19 17:58:19.524010,2019-02-19 17:58:19.290528,2019-02-19 17:58:20.328690
2019-02-19 17:58:19.523448,2019-02-19 17:58:19.292616,2019-02-19 17:58:20.329219
2019-02-19 17:58:19.529260,2019-02-19 17:58:19.294816,2019-02-19 17:58:20.329704
2019-02-19 17:58:19.510998,2019-02-19 17:58:19.280658,2019-02-19 17:58:20.330191
2019-02-19 17:58:19.527032,2019-02-19 17:58:19.295648,2019-02-19 17:58:20.330672
2019-02-19 17:58:19.526105,2019-02-19 17:58:19.291360,2019-02-19 17:58:20.331168
2019-02-19 17:58:19.525172,2019-02-19 17:58:19.296705,2019-02-19 17:58:20.411748
2019-02-19 17:58:19.512822,2019-02-19 17:58:19.282575,2019-02-19 17:58:20.412576
2019-02-19 17:58:19.528809,2019-02-19 17:58:19.293263,2019-02-19 17:58:20.413089
2019-02-19 17:58:19.517794,2019-02-19 17:58:19.283978,2019-02-19 17:58:20.525397
2019-02-19 17:59:19.538096,2019-02-19 17:59:19.304017,2019-02-19 17:59:20.098366
2019-02-19 17:59:19.543059,2019-02-19 17:59:19.308479,2019-02-19 17:59:20.099215
2019-02-19 17:59:19.534160,2019-02-19 17:59:19.304462,2019-02-19 17:59:20.103234
